"id","name"
573,"Karl Bruckschwaiger"
7333,"Darren McGavin"
11367,"Bradley Whitford"
33489,"Josh Mostel"
22131,"J.T. Walsh"
18070,"Nicky Katt"
23975,"Lee Garlington"
10297,"Matthew McConaughey"
1736,"James Remar"
27993,"Jeffrey Combs"
27995,"Barbara Crampton"
80291,"Jonathan Fuller"
105645,"Jessica Dollarhide"
27279,"Massimo Sarchielli"
6613,"Minnie Driver"
89021,"Geraldine ORawe"
9825,"Saffron Burrows"
10697,"Alan Cumming"
23629,"Brian OHalloran"
23630,"Jeff Anderson"
19302,"Jason Mewes"
19303,"Kevin Smith"
23632,"Lisa Spoonhauer"
3084,"Marlon Brando"
19888,"Géraldine Pailhas"
19889,"Bob Dishy"
55636,"Donald Sutherland"
19152,"Dylan Baker"
56485,"Jacqueline Kim"
21089,"Bruce Greenwood"
37041,"Andrew McCarthy"
1743,"Denise Crosby"
29446,"Armin Shimerman"
20759,"Yancy Butler"
2169,"Michael Jeter"
21563,"Corin Nemec"
32597,"Dylan McDermott"
18331,"Nancy Travis"
14344,"Stuart Wilson"
65537,"Krystia Mova"
65538,"Jonathan Vega"
8534,"Kathy Bates"
33448,"Judy Parfitt"
11064,"David Strathairn"
8447,"Jeff Daniels"
8437,"Teri Garr"
5170,"Mike Starr"
1623,"Sihung Lung"
65352,"Yu-Wen Wang"
65353,"Jacklyn Wu "
65354,"Yang Kuei-Mei"
57054,"Winston Chao"
98,"Sarah Polley"
65002,"Dana Delany"
24589,"Paul Mercurio"
707,"Dan Aykroyd"
1210,"Héctor Elizondo"
4004,"Jeffrey Jones"
8945,"Kevin Kline"
1003,"Jean Reno"
16328,"Adam Brooks"
7904,"Billy Crystal"
26513,"Debra Winger"
65528,"Cynthia Stevenson"
15416,"Richard Masur"
13920,"Mimi Rogers"
52374,"Bruce Davison"
48464,"Joel Palmer"
84213,"Bill Farmer"
61983,"Jason Marsden"
43125,"Rob Paulsen"
93663,"Kellie Martin"
23958,"Jeremy Sisto"
85313,"Max Pomeranc"
16240,"Stefano Dionisi"
39195,"Elsa Zylberstein"
1924,"Jeroen Krabbé"
25838,"Caroline Cellier"
86812,"Ted Manson"
37825,"Afemo Omilami"
15309,"Lori Petty"
58813,"Erich Anderson"
12312,"Richard Anderson"
161537,"Thomas Babson"
134119,"William Gates"
134120,"Arthur Agee"
122449,"Steve James"
15091,"Melanie Lynskey"
15092,"Sarah Peirse"
15093,"Simon OConnor"
15094,"Diana Kent"
57119,"Sinbad"
14104,"Phil Hartman"
387,"Kim Greist"
59945,"Mason Adams"
6588,"Isabella Rossellini"
55851,"Johanna ter Steege"
23797,"Marco Hofschneider"
77337,"Aaron Schwartz"
77330,"Kenan Thompson"
26042,"Jerry Stiller"
32394,"Anne Meara"
11389,"John Lone"
6720,"Joan Chen"
81108,"Yoshio Harada"
80607,"Yoko Shimada"
504,"Tim Robbins"
23708,"Lou Jacobi"
11275,"Stephen Fry"
500,"Tom Cruise"
1733,"Nick Nolte"
18766,"Jean-Pierre Aumont"
77761,"John G. Brennan"
83480,"Kamal Ahmed"
21282,"William Hickey"
47774,"Vincent Pastore"
1100,"Arnold Schwarzenegger"
14699,"Pamela Reed"
56871,"Blair Underwood"
689,"Kate Capshaw"
15532,"Ruby Dee"
21403,"Thomas Ian Nicholas"
14324,"Joss Ackland"
10672,"Art Malik"
8784,"Daniel Craig"
9994,"Helen Hunt"
49824,"Kathryn Erbe"
2,"Mark Hamill"
4,"Carrie Fisher"
5,"Peter Cushing"
12248,"Alec Guinness"
