"movie_id","actor_id"
11008,149010
11008,11086
11008,80987
11008,204411
47504,820
47504,3129
47504,20005
47504,13333
47504,12150
32325,53764
32325,104380
32325,16429
32325,3136
32325,11160
43742,6449
43742,516
43742,6598
43742,52865
43742,43476
28313,4431
28313,4587
28313,11064
28313,2231
28313,9777
11318,15788
11318,15735
11318,65
11318,11278
11318,18191
3036,380
3036,11181
3036,3999
3036,1283
3036,18992
40490,28768
40490,54812
40490,53283
40490,66606
40490,147491
24070,67773
24070,29803
24070,26715
24070,57829
24070,3196
8986,29369
8986,228
8986,56486
8986,56890
8986,8256
10510,4786
10510,20
10510,32597
10510,22131
10510,1736
17402,520
17402,3131
17402,12021
17402,6575
17402,7166
38722,587
38722,33181
38722,65344
38722,16866
38722,16429
8438,2224
8438,4724
8438,64
8438,6368
8438,3905
11593,3636
11593,62
11593,29369
11593,5698
11593,21043
1945,1038
1945,3896
1945,20162
1945,20163
1945,20164
39310,122712
39310,49002
39310,11870
39310,18272
39310,18795
109560,74195
109560,23920
109560,23931
109560,26783
